CODAGENCIA;NOMAGENCIA;CLUSTER;GASTOS_PROMEDIOREDONDEO;GASTOS_SUMAAJUSTADA;GASTOS_IMPORTEABC;NUEVO_GASTOS_CARGOCUENTAINGRESO_CANTIDAD;PENDIENTES_15DIAS_CANTIDAD;PENDIENTES_15DIAS_IMPORTE;PENDIENTES_FALTANTE_CANTIDAD;PENDIENTES_FALTANTE_IMPORTE;PENDIENTES_ANOMALIA_CANTIDAD;PENDIENTES_ANOMALIA_IMPORTE;PENDIENTES_FINSEMANA_NORMAL_CANTIDAD;PENDIENTES_FINSEMANA_IMPORTE;PENDIENTES_RULETEO_CANTIDAD;PENDIENTES_MENORPROMEDIO_CANTIDAD;PENDIENTES_MENORPROMEDIO_IMPORTE;NUEVO_PENDIENTES_FUERAOFICINA_CANTIDAD;NUEVO_PENDIENTES_SALIDAEFECTO_CANTIDAD;NUEVO_PENDIENTES_FINSEMANA_CANTIDAD;PENDIENTES_RARA_CANTIDAD;TIPOCAMBIO_IMPORTEDOLAR;DEUDA_PERDIDA_GCOMERCIAL;DEUDA_DEFICIENTE_GCOMERCIAL;DEUDA_DUDOSO_GCOMERCIAL;DEUDA_PERDIDA_GOPERATIVO;DEUDA_DEFICIENTE_GOPERATIVO;DEUDA_DUDOSO_GOPERATIVO;DEUDA_PERDIDA_GCONTROL;DEUDA_DEFICIENTE_GCONTROL;DEUDA_DUDOSO_GCONTROL;DIFERENCIACAJA_CANTIDAD;DIFERENCIACAJA_IMPORTE;MATRICULAINACTIVA_OPERACION_CANTIDAD;VACACIONESNEGRAS_CONEXION_CANTIDAD;VACACIONESNEGRAS_VISTOBUENO_CANTIDAD;ANOEXPERIENCIA_GCOMERCIAL;ANOEXPERIENCIA_GOPERATIVO;ANOEXPERIENCIA_GCONTROL;ROTACION_RATIO_PERSONAL;FRAUDE_CANTIDAD
191026;AG.VENEZUELA;0;0.0;0.0;0.0;0.0;5.0;830.0;0.0;0.0;12.0;1250.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;5237.0;0.119047619;0.0
191028;AG.ANTUNEZ DE MAYOLO;0;0.0;0.0;0.0;0.0;2.0;200.0;0.0;0.0;3.0;5100.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;6246.0;0.058823529;0.0
191030;AG. TARAPACA;0;0.0;0.0;0.0;0.0;19.0;8190.0;0.0;0.0;15.0;6320.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5856.0;0.0625;0.0
191036;AG.SANTO DOMINGO;0;0.0;0.0;0.0;0.0;4.0;2049.2;0.0;0.0;43.0;23690.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;26.0;0.0;0.0;0.0;6427.0;0.067982456;0.0
191038;AG.TUPAC AMARU;0;0.0;0.0;0.0;0.0;8.0;2220.0;0.0;0.0;13.0;1440.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;4545.0;0.044858523;0.0
191055;AG.LAS LOMAS;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078431373;0.0
191076;AG.LAS MALVINAS;0;0.0;0.0;0.0;0.0;11.0;10311.0;0.0;0.0;7.0;1235.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;7815.0;0.075217391;0.0
191077;AG.CENTRO COM.MULTIPLAZA;0;0.0;0.0;0.0;0.0;5.0;1980.0;0.0;0.0;11.0;874.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;21.0;0.0;0.0;8257.0;0.078557312;0.0
191085;AG.HUAYCAN;0;0.0;0.0;0.0;0.0;3.0;84.21;0.0;0.0;13.0;1350.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;7351.0;0.055555556;0.0
191098;AG.CAILLOMA;0;0.0;0.0;0.0;0.0;2.0;1450.0;0.0;0.0;10.0;2170.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.42;0.0;0.0;0.0;0.0;0.0;4671.0;0.068253968;1.0
